HR,Time Stamp,
57,1548340200,1/24/19 14:30
56.5,1548340201,1/24/19 14:30
62.33,1548340201,1/24/19 14:30
62,1548340201,1/24/19 14:30
66.2,1548340202,1/24/19 14:30
69,1548340203,1/24/19 14:30
70.86,1548340203,1/24/19 14:30
72.62,1548340204,1/24/19 14:30
73.56,1548340204,1/24/19 14:30
74.3,1548340205,1/24/19 14:30
75.09,1548340205,1/24/19 14:30
75.83,1548340206,1/24/19 14:30
76.46,1548340206,1/24/19 14:30
77.43,1548340207,1/24/19 14:30
78.27,1548340207,1/24/19 14:30
79,1548340208,1/24/19 14:30
79.65,1548340209,1/24/19 14:30
80.22,1548340210,1/24/19 14:30
80.89,1548340210,1/24/19 14:30
81.55,1548340211,1/24/19 14:30
82.19,1548340211,1/24/19 14:30
82.77,1548340211,1/24/19 14:30
83.3,1548340212,1/24/19 14:30
83.79,1548340213,1/24/19 14:30
84.24,1548340213,1/24/19 14:30
84.65,1548340214,1/24/19 14:30
85.04,1548340214,1/24/19 14:30
85.39,1548340215,1/24/19 14:30
85.72,1548340215,1/24/19 14:30
86.07,1548340216,1/24/19 14:30
86.42,1548340216,1/24/19 14:30
86.75,1548340217,1/24/19 14:30
87.06,1548340218,1/24/19 14:30
87.32,1548340218,1/24/19 14:30
87.66,1548340219,1/24/19 14:30
87.89,1548340219,1/24/19 14:30
88.05,1548340220,1/24/19 14:30
88.18,1548340221,1/24/19 14:30
88.28,1548340221,1/24/19 14:30
88.4,1548340222,1/24/19 14:30
88.51,1548340223,1/24/19 14:30
88.64,1548340223,1/24/19 14:30
88.79,1548340223,1/24/19 14:30
88.95,1548340224,1/24/19 14:30
89.11,1548340225,1/24/19 14:30
89.26,1548340226,1/24/19 14:30
89.4,1548340226,1/24/19 14:30
89.52,1548340227,1/24/19 14:30
89.63,1548340228,1/24/19 14:30
89.72,1548340228,1/24/19 14:30
89.76,1548340228,1/24/19 14:30
89.79,1548340229,1/24/19 14:30
89.81,1548340230,1/24/19 14:30
89.81,1548340231,1/24/19 14:30
89.8,1548340231,1/24/19 14:30
89.79,1548340232,1/24/19 14:30
89.74,1548340233,1/24/19 14:30
89.67,1548340233,1/24/19 14:30
89.58,1548340234,1/24/19 14:30
89.45,1548340234,1/24/19 14:30
89.87,1548340234,1/24/19 14:30
90.3,1548340235,1/24/19 14:30
90.43,1548340236,1/24/19 14:30
90.8,1548340236,1/24/19 14:30
90.85,1548340237,1/24/19 14:30
90.92,1548340238,1/24/19 14:30
91.02,1548340239,1/24/19 14:30
91.07,1548340240,1/24/19 14:30
91.2,1548340240,1/24/19 14:30
91.33,1548340240,1/24/19 14:30
91.43,1548340241,1/24/19 14:30
